v1,v2,,,
Invoice for last month,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Urgent: Your account has been compromised,Your account has unusual activity. Click here to verify now.,spam
Earn $5000 from home,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Urgent: Your account has been compromised,Your account has unusual activity. Click here to verify now.,spam
Claim your free gift card,Unlock premium content with this exclusive link.,spam
Congratulations! You've won a prize,Unlock premium content with this exclusive link.,spam
Follow up on the report,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Update your billing information now,Earn thousands working from the comfort of your home.,spam
Doctor appointment confirmation,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Congratulations! You've won a prize,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Your Amazon order has shipped,Family trip is confirmed for next month. Booking details attached.,not spam
Earn $5000 from home,Unlock premium content with this exclusive link.,spam
Limited time offer!,Unlock premium content with this exclusive link.,spam
Invoice for last month,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Urgent: Your account has been compromised,This is your last chance to act. Don’t miss out!,spam
Dinner plans?,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Your invoice is attached,Click the link below to secure your bank account immediately.,spam
Congratulations! You've won a prize,We have been trying to contact you regarding your car’s extended warranty.,spam
Family trip plans,Can you review the report before submitting it to the client?,not spam
Your invoice is attached,Click the link below to secure your bank account immediately.,spam
Get rich quick!,Our records show you are eligible for a cashback. Act now.,spam
Follow up on the report,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Update your billing information now,You are the lucky winner of our grand giveaway.,spam
Invoice for last month,We are planning a team outing next Friday. Please RSVP.,not spam
You’ve been selected!,Earn thousands working from the comfort of your home.,spam
Congratulations! You've won a prize,Click the link below to secure your bank account immediately.,spam
Team outing details,Please join the Slack channel for team updates.,not spam
Weekly project status update,Can you review the report before submitting it to the client?,not spam
Claim your free gift card,Earn thousands working from the comfort of your home.,spam
Congratulations! You've won a prize,Get your free iPhone now. Limited time only!,spam
Doctor appointment confirmation,Please join the Slack channel for team updates.,not spam
Your Amazon order has shipped,Here's the invoice for last month’s purchases.,not spam
Urgent: Your account has been compromised,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Follow up on the report,Family trip is confirmed for next month. Booking details attached.,not spam
Weekly project status update,Here's the invoice for last month’s purchases.,not spam
Meeting agenda for tomorrow,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Weekly project status update,Please join the Slack channel for team updates.,not spam
Invitation to join our Slack workspace,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Urgent: Your account has been compromised,Unlock premium content with this exclusive link.,spam
Dinner plans?,Here's the invoice for last month’s purchases.,not spam
Meeting agenda for tomorrow,Here's the invoice for last month’s purchases.,not spam
Dinner plans?,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Earn $5000 from home,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Invitation to join our Slack workspace,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Earn $5000 from home,Earn thousands working from the comfort of your home.,spam
Limited time offer!,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Team outing details,Family trip is confirmed for next month. Booking details attached.,not spam
Your Amazon order has shipped,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Dinner plans?,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Congratulations! You've won a prize,We have been trying to contact you regarding your car’s extended warranty.,spam
Team outing details,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Limited time offer!,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Get rich quick!,Our records show you are eligible for a cashback. Act now.,spam
Invoice for last month,Here's the invoice for last month’s purchases.,not spam
Congratulations! You've won a prize,This is your last chance to act. Don’t miss out!,spam
Claim your free gift card,Our records show you are eligible for a cashback. Act now.,spam
Your invoice is attached,You are the lucky winner of our grand giveaway.,spam
Invoice for last month,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Earn $5000 from home,Get your free iPhone now. Limited time only!,spam
Doctor appointment confirmation,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Congratulations! You've won a prize,Earn thousands working from the comfort of your home.,spam
Follow up on the report,Family trip is confirmed for next month. Booking details attached.,not spam
You’ve been selected!,You are the lucky winner of our grand giveaway.,spam
Follow up on the report,Here's the invoice for last month’s purchases.,not spam
Urgent: Your account has been compromised,Your account has unusual activity. Click here to verify now.,spam
Your invoice is attached,Our records show you are eligible for a cashback. Act now.,spam
Invitation to join our Slack workspace,Please join the Slack channel for team updates.,not spam
Doctor appointment confirmation,Here's the invoice for last month’s purchases.,not spam
Earn $5000 from home,Get your free iPhone now. Limited time only!,spam
Your invoice is attached,We have been trying to contact you regarding your car’s extended warranty.,spam
Earn $5000 from home,Earn thousands working from the comfort of your home.,spam
Meeting agenda for tomorrow,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Meeting agenda for tomorrow,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Claim your free gift card,You are the lucky winner of our grand giveaway.,spam
Your invoice is attached,Your account has unusual activity. Click here to verify now.,spam
Invoice for last month,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Dinner plans?,Can you review the report before submitting it to the client?,not spam
Limited time offer!,Unlock premium content with this exclusive link.,spam
Earn $5000 from home,Earn thousands working from the comfort of your home.,spam
Claim your free gift card,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Limited time offer!,Our records show you are eligible for a cashback. Act now.,spam
Claim your free gift card,Click the link below to secure your bank account immediately.,spam
Family trip plans,Please join the Slack channel for team updates.,not spam
Congratulations! You've won a prize,Unlock premium content with this exclusive link.,spam
Family trip plans,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Doctor appointment confirmation,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Earn $5000 from home,Unlock premium content with this exclusive link.,spam
You’ve been selected!,Our records show you are eligible for a cashback. Act now.,spam
Team outing details,Please join the Slack channel for team updates.,not spam
Invoice for last month,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Invoice for last month,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Team outing details,Please join the Slack channel for team updates.,not spam
Meeting agenda for tomorrow,Family trip is confirmed for next month. Booking details attached.,not spam
Earn $5000 from home,We have been trying to contact you regarding your car’s extended warranty.,spam
Team outing details,Can you review the report before submitting it to the client?,not spam
Follow up on the report,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
You’ve been selected!,Our records show you are eligible for a cashback. Act now.,spam
Claim your free gift card,Your account has unusual activity. Click here to verify now.,spam
Limited time offer!,Unlock premium content with this exclusive link.,spam
Invoice for last month,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Your Amazon order has shipped,Family trip is confirmed for next month. Booking details attached.,not spam
Earn $5000 from home,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Family trip plans,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Act now to claim your reward,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Doctor appointment confirmation,Here's the invoice for last month’s purchases.,not spam
Act now to claim your reward,We have been trying to contact you regarding your car’s extended warranty.,spam
Invitation to join our Slack workspace,Please join the Slack channel for team updates.,not spam
Family trip plans,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Claim your free gift card,Your account has unusual activity. Click here to verify now.,spam
Act now to claim your reward,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Congratulations! You've won a prize,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Update your billing information now,You are the lucky winner of our grand giveaway.,spam
Follow up on the report,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Earn $5000 from home,Our records show you are eligible for a cashback. Act now.,spam
Invoice for last month,We are planning a team outing next Friday. Please RSVP.,not spam
Act now to claim your reward,Earn thousands working from the comfort of your home.,spam
Invitation to join our Slack workspace,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
You’ve been selected!,Unlock premium content with this exclusive link.,spam
Limited time offer!,Earn thousands working from the comfort of your home.,spam
Claim your free gift card,We have been trying to contact you regarding your car’s extended warranty.,spam
Team outing details,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Your Amazon order has shipped,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Your invoice is attached,Earn thousands working from the comfort of your home.,spam
Invitation to join our Slack workspace,Here's the invoice for last month’s purchases.,not spam
Team outing details,Family trip is confirmed for next month. Booking details attached.,not spam
Get rich quick!,This is your last chance to act. Don’t miss out!,spam
Weekly project status update,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Urgent: Your account has been compromised,Click the link below to secure your bank account immediately.,spam
Follow up on the report,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Family trip plans,Please join the Slack channel for team updates.,not spam
Earn $5000 from home,Our records show you are eligible for a cashback. Act now.,spam
Family trip plans,We are planning a team outing next Friday. Please RSVP.,not spam
Limited time offer!,Unlock premium content with this exclusive link.,spam
Get rich quick!,We have been trying to contact you regarding your car’s extended warranty.,spam
Follow up on the report,We are planning a team outing next Friday. Please RSVP.,not spam
Claim your free gift card,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Family trip plans,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Earn $5000 from home,Your account has unusual activity. Click here to verify now.,spam
Doctor appointment confirmation,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Get rich quick!,Your account has unusual activity. Click here to verify now.,spam
Team outing details,Family trip is confirmed for next month. Booking details attached.,not spam
Invitation to join our Slack workspace,Family trip is confirmed for next month. Booking details attached.,not spam
Your Amazon order has shipped,Your Amazon package has been shipped and will be delivered by Monday.,not spam
You’ve been selected!,Our records show you are eligible for a cashback. Act now.,spam
Invitation to join our Slack workspace,We are planning a team outing next Friday. Please RSVP.,not spam
Your invoice is attached,Click the link below to secure your bank account immediately.,spam
Doctor appointment confirmation,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Invitation to join our Slack workspace,Can you review the report before submitting it to the client?,not spam
Team outing details,Family trip is confirmed for next month. Booking details attached.,not spam
Weekly project status update,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Earn $5000 from home,Get your free iPhone now. Limited time only!,spam
Earn $5000 from home,We have been trying to contact you regarding your car’s extended warranty.,spam
Invoice for last month,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Your invoice is attached,We have been trying to contact you regarding your car’s extended warranty.,spam
Act now to claim your reward,This is your last chance to act. Don’t miss out!,spam
Meeting agenda for tomorrow,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Doctor appointment confirmation,Here's the invoice for last month’s purchases.,not spam
Act now to claim your reward,Your account has unusual activity. Click here to verify now.,spam
Invoice for last month,Please join the Slack channel for team updates.,not spam
Your Amazon order has shipped,Can you review the report before submitting it to the client?,not spam
Invoice for last month,We are planning a team outing next Friday. Please RSVP.,not spam
Limited time offer!,You are the lucky winner of our grand giveaway.,spam
Invoice for last month,Here's the invoice for last month’s purchases.,not spam
Your invoice is attached,Earn thousands working from the comfort of your home.,spam
Dinner plans?,Here's the invoice for last month’s purchases.,not spam
Dinner plans?,Here's the invoice for last month’s purchases.,not spam
Claim your free gift card,We have been trying to contact you regarding your car’s extended warranty.,spam
Your invoice is attached,Earn thousands working from the comfort of your home.,spam
Follow up on the report,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Invitation to join our Slack workspace,Family trip is confirmed for next month. Booking details attached.,not spam
You’ve been selected!,This is your last chance to act. Don’t miss out!,spam
Dinner plans?,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Team outing details,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Follow up on the report,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Follow up on the report,Here's the invoice for last month’s purchases.,not spam
Family trip plans,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Congratulations! You've won a prize,Click the link below to secure your bank account immediately.,spam
Weekly project status update,Here's the invoice for last month’s purchases.,not spam
Weekly project status update,We are planning a team outing next Friday. Please RSVP.,not spam
Your Amazon order has shipped,Please join the Slack channel for team updates.,not spam
Family trip plans,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Team outing details,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Invoice for last month,Family trip is confirmed for next month. Booking details attached.,not spam
Claim your free gift card,We have been trying to contact you regarding your car’s extended warranty.,spam
Your Amazon order has shipped,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Follow up on the report,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Team outing details,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Invoice for last month,We are planning a team outing next Friday. Please RSVP.,not spam
Your Amazon order has shipped,Family trip is confirmed for next month. Booking details attached.,not spam
Dinner plans?,Here's the invoice for last month’s purchases.,not spam
Follow up on the report,We are planning a team outing next Friday. Please RSVP.,not spam
Update your billing information now,This is your last chance to act. Don’t miss out!,spam
Meeting agenda for tomorrow,Can you review the report before submitting it to the client?,not spam
Team outing details,Family trip is confirmed for next month. Booking details attached.,not spam
Congratulations! You've won a prize,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Doctor appointment confirmation,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Urgent: Your account has been compromised,This is your last chance to act. Don’t miss out!,spam
Your invoice is attached,Click the link below to secure your bank account immediately.,spam
Family trip plans,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Your invoice is attached,This is your last chance to act. Don’t miss out!,spam
Your invoice is attached,Get your free iPhone now. Limited time only!,spam
Team outing details,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Limited time offer!,This is your last chance to act. Don’t miss out!,spam
Weekly project status update,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Meeting agenda for tomorrow,Family trip is confirmed for next month. Booking details attached.,not spam
Invoice for last month,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Act now to claim your reward,We have been trying to contact you regarding your car’s extended warranty.,spam
Limited time offer!,This is your last chance to act. Don’t miss out!,spam
Claim your free gift card,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Congratulations! You've won a prize,Our records show you are eligible for a cashback. Act now.,spam
Claim your free gift card,Earn thousands working from the comfort of your home.,spam
Your Amazon order has shipped,Please join the Slack channel for team updates.,not spam
Earn $5000 from home,This is your last chance to act. Don’t miss out!,spam
Limited time offer!,We have been trying to contact you regarding your car’s extended warranty.,spam
Limited time offer!,We have been trying to contact you regarding your car’s extended warranty.,spam
Your invoice is attached,Get your free iPhone now. Limited time only!,spam
Meeting agenda for tomorrow,Can you review the report before submitting it to the client?,not spam
Your Amazon order has shipped,Here's the invoice for last month’s purchases.,not spam
Limited time offer!,We have been trying to contact you regarding your car’s extended warranty.,spam
Follow up on the report,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Team outing details,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Invitation to join our Slack workspace,Please join the Slack channel for team updates.,not spam
Congratulations! You've won a prize,Click the link below to secure your bank account immediately.,spam
Weekly project status update,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Doctor appointment confirmation,We are planning a team outing next Friday. Please RSVP.,not spam
Claim your free gift card,This is your last chance to act. Don’t miss out!,spam
Follow up on the report,Can you review the report before submitting it to the client?,not spam
Dinner plans?,Here's the invoice for last month’s purchases.,not spam
Earn $5000 from home,Your account has unusual activity. Click here to verify now.,spam
Dinner plans?,Can you review the report before submitting it to the client?,not spam
Congratulations! You've won a prize,Our records show you are eligible for a cashback. Act now.,spam
Your invoice is attached,You are the lucky winner of our grand giveaway.,spam
Earn $5000 from home,You are the lucky winner of our grand giveaway.,spam
Get rich quick!,Your account has unusual activity. Click here to verify now.,spam
Dinner plans?,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Act now to claim your reward,Your account has unusual activity. Click here to verify now.,spam
Weekly project status update,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Invoice for last month,Here's the invoice for last month’s purchases.,not spam
Urgent: Your account has been compromised,Earn thousands working from the comfort of your home.,spam
Team outing details,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Your invoice is attached,Your account has unusual activity. Click here to verify now.,spam
Weekly project status update,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Congratulations! You've won a prize,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Congratulations! You've won a prize,Your account has unusual activity. Click here to verify now.,spam
Invoice for last month,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Meeting agenda for tomorrow,Here's the invoice for last month’s purchases.,not spam
Follow up on the report,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Your invoice is attached,Click the link below to secure your bank account immediately.,spam
Invoice for last month,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Earn $5000 from home,Get your free iPhone now. Limited time only!,spam
Follow up on the report,We are planning a team outing next Friday. Please RSVP.,not spam
Congratulations! You've won a prize,This is your last chance to act. Don’t miss out!,spam
Earn $5000 from home,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Limited time offer!,Your account has unusual activity. Click here to verify now.,spam
You’ve been selected!,Click the link below to secure your bank account immediately.,spam
Act now to claim your reward,Our records show you are eligible for a cashback. Act now.,spam
You’ve been selected!,Our records show you are eligible for a cashback. Act now.,spam
Dinner plans?,Please join the Slack channel for team updates.,not spam
Update your billing information now,We have been trying to contact you regarding your car’s extended warranty.,spam
Act now to claim your reward,Unlock premium content with this exclusive link.,spam
Meeting agenda for tomorrow,We are planning a team outing next Friday. Please RSVP.,not spam
Team outing details,Can you review the report before submitting it to the client?,not spam
Invitation to join our Slack workspace,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Family trip plans,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Claim your free gift card,Get your free iPhone now. Limited time only!,spam
Meeting agenda for tomorrow,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Dinner plans?,Please join the Slack channel for team updates.,not spam
Your Amazon order has shipped,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Team outing details,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Update your billing information now,Unlock premium content with this exclusive link.,spam
Limited time offer!,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Meeting agenda for tomorrow,Can you review the report before submitting it to the client?,not spam
You’ve been selected!,Our records show you are eligible for a cashback. Act now.,spam
Claim your free gift card,You are the lucky winner of our grand giveaway.,spam
Claim your free gift card,Earn thousands working from the comfort of your home.,spam
Meeting agenda for tomorrow,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Meeting agenda for tomorrow,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Update your billing information now,We have been trying to contact you regarding your car’s extended warranty.,spam
Family trip plans,We are planning a team outing next Friday. Please RSVP.,not spam
Family trip plans,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Invoice for last month,Family trip is confirmed for next month. Booking details attached.,not spam
Team outing details,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Earn $5000 from home,Our records show you are eligible for a cashback. Act now.,spam
Act now to claim your reward,Get your free iPhone now. Limited time only!,spam
Your invoice is attached,We have been trying to contact you regarding your car’s extended warranty.,spam
Earn $5000 from home,Click the link below to secure your bank account immediately.,spam
Your Amazon order has shipped,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Your Amazon order has shipped,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Dinner plans?,Can you review the report before submitting it to the client?,not spam
Update your billing information now,Click the link below to secure your bank account immediately.,spam
Your Amazon order has shipped,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Congratulations! You've won a prize,This is your last chance to act. Don’t miss out!,spam
Act now to claim your reward,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Meeting agenda for tomorrow,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Family trip plans,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
You’ve been selected!,Click the link below to secure your bank account immediately.,spam
Meeting agenda for tomorrow,Can you review the report before submitting it to the client?,not spam
Congratulations! You've won a prize,Our records show you are eligible for a cashback. Act now.,spam
Team outing details,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Meeting agenda for tomorrow,Please join the Slack channel for team updates.,not spam
Team outing details,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Update your billing information now,This is your last chance to act. Don’t miss out!,spam
Claim your free gift card,Get your free iPhone now. Limited time only!,spam
Invitation to join our Slack workspace,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Weekly project status update,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Congratulations! You've won a prize,We have been trying to contact you regarding your car’s extended warranty.,spam
Meeting agenda for tomorrow,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Get rich quick!,Get your free iPhone now. Limited time only!,spam
Weekly project status update,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Get rich quick!,Earn thousands working from the comfort of your home.,spam
Follow up on the report,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Invoice for last month,Family trip is confirmed for next month. Booking details attached.,not spam
You’ve been selected!,You are the lucky winner of our grand giveaway.,spam
Get rich quick!,Our records show you are eligible for a cashback. Act now.,spam
Weekly project status update,Can you review the report before submitting it to the client?,not spam
Follow up on the report,Please join the Slack channel for team updates.,not spam
Update your billing information now,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Claim your free gift card,Click the link below to secure your bank account immediately.,spam
Team outing details,Please join the Slack channel for team updates.,not spam
Earn $5000 from home,Unlock premium content with this exclusive link.,spam
Weekly project status update,Please join the Slack channel for team updates.,not spam
Congratulations! You've won a prize,Our records show you are eligible for a cashback. Act now.,spam
Update your billing information now,Our records show you are eligible for a cashback. Act now.,spam
Dinner plans?,Can you review the report before submitting it to the client?,not spam
Team outing details,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Act now to claim your reward,This is your last chance to act. Don’t miss out!,spam
You’ve been selected!,This is your last chance to act. Don’t miss out!,spam
Team outing details,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Earn $5000 from home,Get your free iPhone now. Limited time only!,spam
Invoice for last month,Please join the Slack channel for team updates.,not spam
Your Amazon order has shipped,Family trip is confirmed for next month. Booking details attached.,not spam
Act now to claim your reward,This is your last chance to act. Don’t miss out!,spam
Meeting agenda for tomorrow,Here's the invoice for last month’s purchases.,not spam
Earn $5000 from home,You are the lucky winner of our grand giveaway.,spam
Family trip plans,Here's the invoice for last month’s purchases.,not spam
Limited time offer!,Your account has unusual activity. Click here to verify now.,spam
Doctor appointment confirmation,Family trip is confirmed for next month. Booking details attached.,not spam
Follow up on the report,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Urgent: Your account has been compromised,Unlock premium content with this exclusive link.,spam
Update your billing information now,This is your last chance to act. Don’t miss out!,spam
You’ve been selected!,Get your free iPhone now. Limited time only!,spam
Invitation to join our Slack workspace,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Weekly project status update,Please join the Slack channel for team updates.,not spam
Act now to claim your reward,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Urgent: Your account has been compromised,Click the link below to secure your bank account immediately.,spam
Team outing details,Can you review the report before submitting it to the client?,not spam
Meeting agenda for tomorrow,Please join the Slack channel for team updates.,not spam
Dinner plans?,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Family trip plans,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Get rich quick!,This is your last chance to act. Don’t miss out!,spam
Update your billing information now,Unlock premium content with this exclusive link.,spam
Claim your free gift card,Unlock premium content with this exclusive link.,spam
Follow up on the report,Can you review the report before submitting it to the client?,not spam
Team outing details,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Family trip plans,We are planning a team outing next Friday. Please RSVP.,not spam
Congratulations! You've won a prize,Our records show you are eligible for a cashback. Act now.,spam
Doctor appointment confirmation,Family trip is confirmed for next month. Booking details attached.,not spam
Doctor appointment confirmation,Family trip is confirmed for next month. Booking details attached.,not spam
Urgent: Your account has been compromised,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
Update your billing information now,"Dear user, you have won a lottery. Please send your details to claim the reward.",spam
You’ve been selected!,Our records show you are eligible for a cashback. Act now.,spam
Limited time offer!,Get your free iPhone now. Limited time only!,spam
Update your billing information now,Earn thousands working from the comfort of your home.,spam
Claim your free gift card,Your account has unusual activity. Click here to verify now.,spam
Invitation to join our Slack workspace,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Act now to claim your reward,Our records show you are eligible for a cashback. Act now.,spam
Congratulations! You've won a prize,This is your last chance to act. Don’t miss out!,spam
Act now to claim your reward,Our records show you are eligible for a cashback. Act now.,spam
Act now to claim your reward,Get your free iPhone now. Limited time only!,spam
Get rich quick!,We have been trying to contact you regarding your car’s extended warranty.,spam
Weekly project status update,Let’s catch up over dinner this weekend. Let me know your availability.,not spam
Urgent: Your account has been compromised,Click the link below to secure your bank account immediately.,spam
You’ve been selected!,Your account has unusual activity. Click here to verify now.,spam
Invitation to join our Slack workspace,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Dinner plans?,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Claim your free gift card,Unlock premium content with this exclusive link.,spam
Your invoice is attached,We have been trying to contact you regarding your car’s extended warranty.,spam
Congratulations! You've won a prize,This is your last chance to act. Don’t miss out!,spam
Earn $5000 from home,Get your free iPhone now. Limited time only!,spam
Weekly project status update,Family trip is confirmed for next month. Booking details attached.,not spam
Get rich quick!,Click the link below to secure your bank account immediately.,spam
Urgent: Your account has been compromised,We have been trying to contact you regarding your car’s extended warranty.,spam
Act now to claim your reward,Our records show you are eligible for a cashback. Act now.,spam
Doctor appointment confirmation,We are planning a team outing next Friday. Please RSVP.,not spam
Act now to claim your reward,Your account has unusual activity. Click here to verify now.,spam
Claim your free gift card,This is your last chance to act. Don’t miss out!,spam
Your Amazon order has shipped,"Hi team, please find attached the agenda for tomorrow’s meeting.",not spam
Meeting agenda for tomorrow,Please join the Slack channel for team updates.,not spam
Meeting agenda for tomorrow,Family trip is confirmed for next month. Booking details attached.,not spam
Doctor appointment confirmation,Here's the invoice for last month’s purchases.,not spam
Urgent: Your account has been compromised,Our records show you are eligible for a cashback. Act now.,spam
Update your billing information now,Unlock premium content with this exclusive link.,spam
Get rich quick!,Get your free iPhone now. Limited time only!,spam
Claim your free gift card,We have been trying to contact you regarding your car’s extended warranty.,spam
Invoice for last month,Family trip is confirmed for next month. Booking details attached.,not spam
Dinner plans?,Family trip is confirmed for next month. Booking details attached.,not spam
Doctor appointment confirmation,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Urgent: Your account has been compromised,Earn thousands working from the comfort of your home.,spam
Family trip plans,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Doctor appointment confirmation,Thanks for the update. I’ll get back to you with feedback soon.,not spam
Invoice for last month,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Invoice for last month,Here's the invoice for last month’s purchases.,not spam
Earn $5000 from home,We have been trying to contact you regarding your car’s extended warranty.,spam
Follow up on the report,We are planning a team outing next Friday. Please RSVP.,not spam
Your invoice is attached,Your account has unusual activity. Click here to verify now.,spam
Dinner plans?,Your Amazon package has been shipped and will be delivered by Monday.,not spam
Family trip plans,Can you review the report before submitting it to the client?,not spam
Your Amazon order has shipped,Family trip is confirmed for next month. Booking details attached.,not spam
Weekly project status update,Can you review the report before submitting it to the client?,not spam
Weekly project status update,The doctor’s appointment is scheduled for 10 AM tomorrow.,not spam
Claim your free gift card,We have been trying to contact you regarding your car’s extended warranty.,spam
Invoice for last month,Please join the Slack channel for team updates.,not spam
Earn $5000 from home,This is your last chance to act. Don’t miss out!,spam
Get rich quick!,This is your last chance to act. Don’t miss out!,spam
Get rich quick!,This is your last chance to act. Don’t miss out!,spam
